MD,INCL,AZI,TVD,NS,EW
0.00,0.00,0.00,0.00,0.00,0.00
30.00,0.00,0.00,30.00,0.00,0.00
60.00,0.00,0.00,60.00,0.00,0.00
90.00,0.00,0.00,90.00,0.00,0.00
120.00,0.00,0.00,120.00,0.00,0.00
150.00,0.00,0.00,150.00,0.00,0.00
180.00,0.00,0.00,180.00,0.00,0.00
210.00,0.00,0.00,210.00,0.00,0.00
240.00,0.00,0.00,240.00,0.00,0.00
270.00,0.00,0.00,270.00,0.00,0.00
300.00,0.00,0.00,300.00,0.00,0.00
330.00,0.00,0.00,330.00,0.00,0.00
360.00,0.00,0.00,360.00,0.00,0.00
390.00,0.00,0.00,390.00,0.00,0.00
420.00,0.00,0.00,420.00,0.00,0.00
450.00,0.00,0.00,450.00,0.00,0.00
480.00,0.00,0.00,480.00,0.00,0.00
510.00,0.00,0.00,510.00,0.00,0.00
540.00,0.00,0.00,540.00,0.00,0.00
570.00,0.00,0.00,570.00,0.00,0.00
600.00,0.00,0.00,600.00,0.00,0.00
630.00,0.00,0.00,630.00,0.00,0.00
660.00,0.00,0.00,660.00,0.00,0.00
690.00,0.00,0.00,690.00,0.00,0.00
720.00,0.00,0.00,720.00,0.00,0.00
750.00,0.00,0.00,750.00,0.00,0.00
780.00,0.00,0.00,780.00,0.00,0.00
810.00,0.00,0.00,810.00,0.00,0.00
840.00,0.00,0.00,840.00,0.00,0.00
870.00,0.00,0.00,870.00,0.00,0.00
900.00,0.00,0.00,900.00,0.00,0.00
930.00,0.00,0.00,930.00,0.00,0.00
960.00,0.00,0.00,960.00,0.00,0.00
990.00,0.00,0.00,990.00,0.00,0.00
1020.00,0.00,0.00,1020.00,0.00,0.00
1050.00,0.00,0.00,1050.00,0.00,0.00
1080.00,0.00,0.00,1080.00,0.00,0.00
1110.00,0.00,0.00,1110.00,0.00,0.00
1140.00,0.00,0.00,1140.00,0.00,0.00
1170.00,0.00,0.00,1170.00,0.00,0.00
1200.00,0.00,0.00,1200.00,0.00,0.00
1230.00,0.00,0.00,1230.00,0.00,0.00
1260.00,0.00,0.00,1260.00,0.00,0.00
1290.00,0.00,0.00,1290.00,0.00,0.00
1320.00,0.00,0.00,1320.00,0.00,0.00
1350.00,0.00,0.00,1350.00,0.00,0.00
1380.00,0.00,0.00,1380.00,0.00,0.00
1410.00,0.00,0.00,1410.00,0.00,0.00
1440.00,0.00,0.00,1440.00,0.00,0.00
1470.00,0.00,0.00,1470.00,0.00,0.00
1500.00,0.00,0.00,1500.00,0.00,0.00
1530.00,0.00,0.00,1530.00,0.00,0.00
1560.00,0.00,0.00,1560.00,0.00,0.00
1590.00,0.00,0.00,1590.00,0.00,0.00
1620.00,0.00,0.00,1620.00,0.00,0.00
1650.00,0.00,0.00,1650.00,0.00,0.00
1680.00,0.00,0.00,1680.00,0.00,0.00
1710.00,0.00,0.00,1710.00,0.00,0.00
1740.00,0.00,0.00,1740.00,0.00,0.00
1770.00,0.00,0.00,1770.00,0.00,0.00
1800.00,0.00,0.00,1800.00,0.00,0.00
1830.00,0.00,0.00,1830.00,0.00,0.00
1860.00,0.00,0.00,1860.00,0.00,0.00
1890.00,0.00,0.00,1890.00,0.00,0.00
1920.00,0.00,0.00,1920.00,0.00,0.00
1950.00,0.00,0.00,1950.00,0.00,0.00
1980.00,0.00,0.00,1980.00,0.00,0.00
2010.00,0.00,0.00,2010.00,0.00,0.00
2040.00,0.00,0.00,2040.00,0.00,0.00
2070.00,0.00,0.00,2070.00,0.00,0.00
2100.00,0.00,0.00,2100.00,0.00,0.00
2130.00,0.00,0.00,2130.00,0.00,0.00
2160.00,0.00,0.00,2160.00,0.00,0.00
2190.00,0.00,0.00,2190.00,0.00,0.00
2220.00,0.00,0.00,2220.00,0.00,0.00
2250.00,0.00,0.00,2250.00,0.00,0.00
2280.00,0.00,0.00,2280.00,0.00,0.00
2310.00,0.00,0.00,2310.00,0.00,0.00
2340.00,0.00,0.00,2340.00,0.00,0.00
2370.00,0.00,0.00,2370.00,0.00,0.00
2400.00,0.00,0.00,2400.00,0.00,0.00
2430.00,0.00,0.00,2430.00,0.00,0.00
2460.00,0.00,0.00,2460.00,0.00,0.00
2490.00,0.00,0.00,2490.00,0.00,0.00
2520.00,0.00,0.00,2520.00,0.00,0.00
2550.00,0.00,0.00,2550.00,0.00,0.00
2580.00,0.00,0.00,2580.00,0.00,0.00
2610.00,0.00,0.00,2610.00,0.00,0.00
2640.00,0.00,0.00,2640.00,0.00,0.00
2670.00,0.00,0.00,2670.00,0.00,0.00
2700.00,0.00,0.00,2700.00,0.00,0.00
2730.00,0.00,0.00,2730.00,0.00,0.00
2760.00,0.00,0.00,2760.00,0.00,0.00
2790.00,0.00,0.00,2790.00,0.00,0.00
2820.00,0.00,0.00,2820.00,0.00,0.00
2850.00,0.00,0.00,2850.00,0.00,0.00
2880.00,0.00,0.00,2880.00,0.00,0.00
2910.00,0.00,0.00,2910.00,0.00,0.00
2940.00,0.00,0.00,2940.00,0.00,0.00
2970.00,0.00,0.00,2970.00,0.00,0.00
3000.00,0.00,0.00,3000.00,0.00,0.00
3030.00,0.00,0.00,3030.00,0.00,0.00
3060.00,0.00,0.00,3060.00,0.00,0.00
3090.00,0.00,0.00,3090.00,0.00,0.00
3120.00,0.00,0.00,3120.00,0.00,0.00
3150.00,0.00,0.00,3150.00,0.00,0.00
3180.00,5.53,135.00,3179.95,-1.02,1.02
3210.00,8.98,135.00,3209.71,-3.70,3.70
3240.00,11.93,135.00,3239.21,-7.55,7.55
3270.00,14.59,135.00,3268.41,-12.41,12.41
3300.00,17.05,135.00,3297.27,-18.19,18.19
3330.00,19.37,135.00,3325.76,-24.82,24.82
3360.00,21.58,135.00,3353.87,-32.24,32.24
3390.00,23.69,135.00,3381.55,-40.41,40.41
3420.00,25.73,135.00,3408.80,-49.28,49.28
3450.00,27.70,135.00,3435.60,-58.81,58.81
3480.00,29.61,135.00,3461.92,-68.99,68.99
3510.00,31.47,135.00,3487.76,-79.76,79.76
3540.00,33.29,135.00,3513.10,-91.12,91.12
3570.00,35.06,135.00,3537.92,-103.04,103.04
3600.00,36.79,135.00,3562.21,-115.48,115.48
3630.00,38.49,135.00,3585.96,-128.44,128.44
3660.00,40.16,135.00,3609.17,-141.88,141.88
